#time (s),dt (s),v (m/s),w (rad/s),uvv,uvw,uwv,uww
0.1,0.1,0.054572138254291,-0.072845972325348,0.003,0,0,0.003
0.2,0.1,0.027179044679785,-0.024018725794646,0.003,0,0,0.003
0.3,0.1,0.070243544987919,-0.045391609849129,0.003,0,0,0.003
0.4,0.1,0.057917389235232,0.035047082922665,0.003,0,0,0.003
0.5,0.1,0.017687630025458,0.066258375562696,0.003,0,0,0.003
0.6,0.1,-0.047692043703353,-0.055293863508265,0.003,0,0,0.003
0.7,0.1,0.023625934557895,-0.082767573510668,0.003,0,0,0.003
0.8,0.1,0.035510272892074,0.027263546068564,0.003,0,0,0.003
0.9,0.1,0.050831261946405,0.080730600065806,0.003,0,0,0.003
1,0.1,0.084256874793339,-0.006921251459024,0.003,0,0,0.003
1.1,0.1,-0.051368811885259,-0.08009144480365,0.003,0,0,0.003
1.2,0.1,0.003237731074816,-0.019267814735371,0.003,0,0,0.003
1.3,0.1,0.231066474184242,0.006987538048102,0.003,0,0,0.003
1.4,0.1,0.003193489692443,-0.037200389409469,0.003,0,0,0.003
1.5,0.1,-0.027993704711311,-0.008395369226981,0.003,0,0,0.003
1.6,0.1,-0.061273127590877,0.016911662607909,0.003,0,0,0.003
1.7,0.1,0.107151972595431,0.058193294519369,0.003,0,0,0.003
1.8,0.1,-0.003585786594455,0.052014739597459,0.003,0,0,0.003
1.9,0.1,-0.049722407476141,-0.045605703290006,0.003,0,0,0.003
2,0.1,0.036625225119918,-0.052988653237518,0.003,0,0,0.003
2.1,0.1,-0.026520037153081,0.001462628923564,0.003,0,0,0.003
2.2,0.1,-0.000113335339354,0.015918342670012,0.003,0,0,0.003
2.3,0.1,-0.031707695122575,0.066746606328506,0.003,0,0,0.003
2.4,0.1,0.026410826348205,0.006291647149484,0.003,0,0,0.003
2.5,0.1,0.060644339154686,-0.027929082981345,0.003,0,0,0.003
2.6,0.1,0.11394465240119,0.044839294531151,0.003,0,0,0.003
2.7,0.1,0.109547836168904,-0.029200696769228,0.003,0,0,0.003
2.8,0.1,0.02593593882611,-0.002569082505349,0.003,0,0,0.003
2.9,0.1,-0.032216174833639,-0.055823169977146,0.003,0,0,0.003
3,0.1,-0.002278418853376,0.010439506676961,0.003,0,0,0.003
3.1,0.1,0.042161030065162,0.066747514515427,0.003,0,0,0.003
3.2,0.1,0.039669896501023,-0.182801107004071,0.003,0,0,0.003
3.3,0.1,0.095276412437326,0.040551498087996,0.003,0,0,0.003
3.4,0.1,-0.019913562217447,-0.03551623461786,0.003,0,0,0.003
3.5,0.1,-0.001293621740118,0.027967611245677,0.003,0,0,0.003
3.6,0.1,-0.036732219134377,-0.025015075696415,0.003,0,0,0.003
3.7,0.1,0.034303689591605,-0.070584519669164,0.003,0,0,0.003
3.8,0.1,0.079843741248946,-0.06392567348129,0.003,0,0,0.003
3.9,0.1,-0.079202331699397,0.057352351174497,0.003,0,0,0.003
4,0.1,-0.107971959937976,0.020737486909126,0.003,0,0,0.003
4.1,0.1,0.071640249560311,-0.020264503184975,0.003,0,0,0.003
4.2,0.1,0.091727641649383,0.025796848522397,0.003,0,0,0.003
4.3,0.1,0.099421412077107,0.091877598945509,0.003,0,0,0.003
4.4,0.1,0.019284920886014,-0.044034388670371,0.003,0,0,0.003
4.5,0.1,-0.036872901440883,-0.062009274265655,0.003,0,0,0.003
4.6,0.1,0.010783756284616,0.016400385536548,0.003,0,0,0.003
4.7,0.1,0.032215980892233,0.011418060263876,0.003,0,0,0.003
4.8,0.1,0.050996870294817,0.013175743825668,0.003,0,0,0.003
4.9,0.1,0.054182377056244,-0.010955485660702,0.003,0,0,0.003
5,0.1,0.071994686762558,0.049069747077336,0.003,0,0,0.003
5.1,0.1,0.057124844975792,0.058101163538337,0.003,0,0,0.003
