#time (s),dt,v (m/s),w (rad/s),uvv,uvw,uwv,uww
0.1,0.1,0.045695375872148,-0.015099208941599,0.003,0,0,0.003
0.2,0.1,-0.02884048880271,0.007562583086462,0.003,0,0,0.003
0.3,0.1,0.022325577097031,0.001813768879184,0.003,0,0,0.003
0.4,0.1,0.047543237945573,0.004304447912875,0.003,0,0,0.003
0.5,0.1,0.02975440425508,0.120134675014345,0.003,0,0,0.003
0.6,0.1,-0.065151574122955,-0.02780233029111,0.003,0,0,0.003
0.7,0.1,0.065722392216832,0.001987703794854,0.003,0,0,0.003
0.8,0.1,0.002726460537087,0.03082806135163,0.003,0,0,0.003
0.9,0.1,-0.023696466301981,-0.021558942492154,0.003,0,0,0.003
1,0.1,-0.000216484446499,-0.01751671479856,0.003,0,0,0.003
1.1,0.1,-0.046417482587458,-4.2434408237565E-05,0.003,0,0,0.003
1.2,0.1,-0.019867801226454,0.004378668209091,0.003,0,0,0.003
1.3,0.1,0.003199012112829,0.073275646912455,0.003,0,0,0.003
1.4,0.1,0.064704187424047,-0.052450886384245,0.003,0,0,0.003
1.5,0.1,0.018707289898266,0.026587951789605,0.003,0,0,0.003
1.6,0.1,-0.025710631332957,0.05519458370195,0.003,0,0,0.003
1.7,0.1,0.031334375524501,-0.000898645941288,0.003,0,0,0.003
1.8,0.1,0.0892792310638,0.038750677215334,0.003,0,0,0.003
1.9,0.1,-0.02254990700124,0.000861167830755,0.003,0,0,0.003
2,0.1,0.032605228515464,-0.045908414995373,0.003,0,0,0.003
2.1,0.1,0.025210963929248,0.013585185882067,0.003,0,0,0.003
2.2,0.1,0.062044075300576,0.090257901590675,0.003,0,0,0.003
2.3,0.1,0.05120348632032,0.039072066893346,0.003,0,0,0.003
2.4,0.1,-0.008911908712909,-0.055981373214565,0.003,0,0,0.003
2.5,0.1,-0.020064577273143,0.020597466248975,0.003,0,0,0.003
2.6,0.1,-0.015438635999031,0.012400475528059,0.003,0,0,0.003
2.7,0.1,-0.124585103439025,-0.065474233879508,0.003,0,0,0.003
2.8,0.1,0.052602213378129,-0.050039182214322,0.003,0,0,0.003
2.9,0.1,0.113231402173268,-0.057417378802332,0.003,0,0,0.003
3,0.1,0.043521454526751,0.042069182923295,0.003,0,0,0.003
3.1,0.1,0.030817496304402,-0.007720480572444,0.003,0,0,0.003
3.2,0.1,-0.007979210104978,-0.030180185903193,0.003,0,0,0.003
3.3,0.1,0.027423045362068,0.08277959541311,0.003,0,0,0.003
3.4,0.1,0.098522030362914,-0.025667958776473,0.003,0,0,0.003
3.5,0.1,0.011087511211427,-0.008613677134974,0.003,0,0,0.003
3.6,0.1,0.027603400075154,0.081359617616588,0.003,0,0,0.003
3.7,0.1,0.030405799073802,0.043497696391151,0.003,0,0,0.003
3.8,0.1,-0.054987160184151,-0.001090505258606,0.003,0,0,0.003
3.9,0.1,0.030750726592008,-0.003214552809624,0.003,0,0,0.003
4,0.1,-0.04687819469433,0.104330521931965,0.003,0,0,0.003
